ID,Generation,Productivity,Eclosion,Isoline,Treatment,Rescuer,Rescue
1,0,729,18,Iso 21,C,None,C
2,0,540,20,Iso 1,I,Iso 23,H
3,0,651,19,Iso 21,O,KSS,O
4,0,696,20,Iso 12,O,KSS,O
5,0,486,20,Iso 1,O,KSS,O
6,0,704,19,Iso 8,O,KSS,O
7,0,660,20,Iso 15,I,Iso 20,L
8,0,442,20,Iso 13,I,Iso 23,H
9,0,655,20,Iso 5,I,Iso 23,H
10,0,606,20,Iso 3,O,KSS,O
11,0,688,19,Iso 23,I,Iso 14,H
12,0,651,20,Iso 1,I,Iso 21,L
13,0,612,20,Iso 5,O,KSS,O
14,0,728,20,Iso 14,O,KSS,O
15,0,445,20,Iso 13,C,None,C
16,0,705,20,Iso 1,C,None,C
17,0,509,20,Iso 21,I,Iso 20,L
18,0,684,18,Iso 3,C,None,C
19,0,681,20,Iso 3,I,Iso 13,L
20,0,560,20,Iso 20,I,Iso 13,L
21,0,468,20,Iso 20,I,Iso 14,H
22,0,519,20,Iso 13,I,Iso 21,L
23,0,505,20,Iso 5,C,None,C
24,0,498,20,Iso 20,C,None,C
25,0,616,20,Iso 12,I,Iso 23,H
26,0,588,20,Iso 16,C,None,C
27,0,632,20,Iso 15,C,None,C
28,0,510,19,Iso 23,I,Iso 20,L
29,0,606,20,Iso 8,I,Iso 12,H
30,0,744,20,Iso 8,I,Iso 13,L
31,0,768,19,Iso 15,I,Iso 14,H
32,0,457,20,Iso 16,O,KSS,O
33,0,662,20,Iso 12,I,Iso 13,L
34,0,646,18,Iso 8,C,None,C
35,0,573,20,Iso 21,I,Iso 12,H
36,0,686,20,Iso 23,O,KSS,O
37,0,564,20,Iso 13,O,KSS,O
38,0,667,20,Iso 5,I,Iso 21,L
39,0,615,18,Iso 23,C,None,C
40,0,711,20,Iso 14,I,Iso 21,L
41,0,751,20,Iso 14,I,Iso 12,H
42,0,621,19,Iso 16,I,Iso 20,L
43,0,611,20,Iso 3,I,Iso 12,H
44,0,529,19,Iso 20,O,KSS,O
45,0,429,20,Iso 16,I,Iso 14,H
46,0,661,20,Iso 12,C,None,C
47,0,634,20,Iso 15,O,KSS,O
48,0,759,20,Iso 14,C,None,C
1,1,522,20,Iso 21,C,None,C
2,1,632,20,Iso 1,I,Iso 23,H
3,1,542,18,Iso 21,O,KSS,O
4,1,770,20,Iso 12,O,KSS,O
5,1,700,20,Iso 1,O,KSS,O
6,1,603,20,Iso 8,O,KSS,O
7,1,906,20,Iso 15,I,Iso 20,L
8,1,374,20,Iso 13,I,Iso 23,H
9,1,633,18,Iso 5,I,Iso 23,H
10,1,611,16,Iso 3,O,KSS,O
11,1,591,19,Iso 23,I,Iso 14,H
12,1,509,20,Iso 1,I,Iso 21,L
13,1,667,20,Iso 5,O,KSS,O
14,1,642,20,Iso 14,O,KSS,O
15,1,494,20,Iso 13,C,None,C
16,1,534,20,Iso 1,C,None,C
17,1,450,20,Iso 21,I,Iso 20,L
18,1,517,20,Iso 3,C,None,C
19,1,647,20,Iso 3,I,Iso 13,L
20,1,422,20,Iso 20,I,Iso 13,L
21,1,524,19,Iso 20,I,Iso 14,H
22,1,360,20,Iso 13,I,Iso 21,L
23,1,605,20,Iso 5,C,None,C
24,1,546,20,Iso 20,C,None,C
25,1,601,20,Iso 12,I,Iso 23,H
26,1,527,20,Iso 16,C,None,C
27,1,599,20,Iso 15,C,None,C
28,1,633,20,Iso 23,I,Iso 20,L
29,1,645,20,Iso 8,I,Iso 12,H
30,1,565,20,Iso 8,I,Iso 13,L
31,1,600,20,Iso 15,I,Iso 14,H
32,1,595,20,Iso 16,O,KSS,O
33,1,504,20,Iso 12,I,Iso 13,L
34,1,549,20,Iso 8,C,None,C
