# PSC, Per-sample counts. Note that the ref/het/hom counts include only SNPs, for indels see PSI. The rest include both SNPs and indels.
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	KSSm1_L004	5928	851	2161	1717	1295	0	11.6	0	0	0	64
PSC	0	KSSf1_L004	5905	857	2202	1761	1298	0	11.2	0	0	0	40
PSC	0	KSSm2_L004	5938	879	2098	1685	1292	0	10.4	0	0	0	89
PSC	0	KSSf2_L004	5812	786	2334	1778	1342	0	10.2	0	0	0	72
PSC	0	KSSm3_L004	5955	792	2168	1659	1301	0	8.3	0	0	0	89
PSC	0	KSSf3_L004	5947	829	2148	1695	1282	0	7.4	0	0	0	80
PSC	0	KSSm4_L004	5840	839	2265	1776	1328	0	9.9	0	0	0	60
PSC	0	KSSf4_L004	5818	898	2228	1753	1373	0	10.0	0	0	0	60
PSC	0	KSSm5_L004	5942	823	2176	1736	1263	0	10.5	0	0	0	63
PSC	0	KSSf5_L004	5817	849	2225	1773	1301	0	7.5	0	0	0	113
PSC	0	KSSm6_L004	5826	849	2214	1729	1334	0	8.4	0	0	0	115
PSC	0	KSSf6_L004	5804	820	2226	1730	1316	0	7.3	0	0	0	154
PSC	0	KSSm7_L004	6065	885	2002	1639	1248	0	10.2	0	0	0	52
PSC	0	KSSfT1_L004	5851	875	2075	1663	1287	0	6.1	0	0	0	203
PSC	0	KSSm8_L004	6017	882	2038	1687	1233	0	10.0	0	0	0	67
PSC	0	KSSf8_L004	5777	828	2335	1796	1367	0	8.6	0	0	0	64
PSC	0	KSSm9_L004	5868	836	2215	1700	1351	0	9.6	0	0	0	85
PSC	0	KSSfT2_L004	5848	871	2115	1666	1320	0	6.2	0	0	0	170
PSC	0	KSSm10_L004	5996	898	2017	1645	1270	0	10.1	0	0	0	93
PSC	0	KSSf10_L004	5771	836	2291	1757	1370	0	8.7	0	0	0	106
PSC	0	KSSm11_L004	5799	884	2209	1739	1354	0	7.9	0	0	0	112
PSC	0	KSSfT3_L004	6014	861	2030	1633	1258	0	7.9	0	0	0	99
PSC	0	KSSm12_L004	6055	853	2038	1635	1256	0	8.4	0	0	0	58
PSC	0	KSSf12_L004	5883	803	2261	1735	1329	0	9.6	0	0	0	57
PSC	0	KSSB1	6003	860	2055	1644	1271	0	9.9	0	0	0	86
PSC	0	KSSB3	5883	850	2198	1706	1342	0	8.8	0	0	0	73
PSC	0	KSSB5	5859	815	2240	1757	1298	0	8.8	0	0	0	90
PSC	0	KSSB2	5889	945	2093	1721	1317	0	13.1	0	0	0	77
PSC	0	KSSB4	5853	836	2262	1765	1333	0	11.4	0	0	0	53
PSC	0	KSSB6	5846	800	2317	1766	1351	0	12.0	0	0	0	41
PSC	0	01C01	6405	1416	1061	1409	1068	0	10.0	0	0	0	122
PSC	0	09H02	6481	1331	1106	1387	1050	0	10.2	0	0	0	86
PSC	0	18C01	6402	1416	1102	1463	1055	0	15.6	0	0	0	84
PSC	0	27C02	6465	1426	1018	1382	1062	0	9.0	0	0	0	95
PSC	0	36O01	6224	1213	1495	1553	1155	0	12.9	0	0	0	72
PSC	0	44O02	6155	1202	1548	1540	1210	0	11.9	0	0	0	99
PSC	0	13ISO02	6509	1444	959	1373	1030	0	10.9	0	0	0	92
PSC	0	02H01	6375	1310	1200	1443	1067	0	8.3	0	0	0	119
PSC	0	10O01	6080	1063	1764	1631	1196	0	9.3	0	0	0	97
PSC	0	19L01	6477	1377	1086	1424	1039	0	11.0	0	0	0	64
PSC	0	28L02	6331	1328	1180	1439	1069	0	9.4	0	0	0	165
PSC	0	36O03	6236	1159	1493	1507	1145	0	8.3	0	0	0	116
PSC	0	45H01	6550	1450	935	1363	1022	0	11.4	0	0	0	69
PSC	0	14ISO01	6388	1399	1141	1458	1082	0	11.6	0	0	0	76
PSC	0	02H03	6368	1321	1207	1420	1108	0	9.9	0	0	0	108
PSC	0	10O03	35	2	7	3	6	0	0.0	0	0	0	8960
PSC	0	19L03	6450	1352	1118	1438	1032	0	9.4	0	0	0	84
PSC	0	29H01	6244	1295	1326	1513	1108	0	9.1	0	0	0	139
PSC	0	37O02	6105	1085	1733	1640	1178	0	9.9	0	0	0	81
PSC	0	45H03	6500	1401	1013	1399	1015	0	10.3	0	0	0	90
PSC	0	14ISO03	6371	1434	1098	1470	1062	0	10.2	0	0	0	101
PSC	0	03O02	6227	1185	1536	1576	1145	0	9.4	0	0	0	56
PSC	0	11H02	266	35	59	50	44	0	0.0	0	0	0	8644
PSC	0	20L02	6358	1365	1164	1431	1098	0	10.3	0	0	0	117
PSC	0	29H03	6283	1351	1233	1466	1118	0	8.6	0	0	0	137
PSC	0	38L01	6580	1372	963	1338	997	0	8.6	0	0	0	89
PSC	0	46C02	6187	1315	1306	1502	1119	0	9.1	0	0	0	196
PSC	0	15ISO02	6432	1458	971	1388	1041	0	9.5	0	0	0	143
PSC	0	04O01	6140	1204	1552	1601	1155	0	9.6	0	0	0	108
PSC	0	12L01	6329	1298	1274	1434	1138	0	9.5	0	0	0	103
PSC	0	21H01	6327	1289	1239	1419	1109	0	7.8	0	0	0	149
PSC	0	30L02	6429	1408	1090	1428	1070	0	9.7	0	0	0	77
PSC	0	38L03	6469	1293	1174	1421	1046	0	10.0	0	0	0	68
PSC	0	47O02	6347	1359	1189	1419	1129	0	10.2	0	0	0	109
PSC	0	16ISO02	6541	1397	976	1368	1005	0	11.1	0	0	0	90
PSC	0	04O03	6115	1229	1508	1602	1135	0	10.1	0	0	0	152
PSC	0	12L03	6389	1296	1201	1437	1060	0	9.3	0	0	0	118
PSC	0	21H03	6383	1356	1138	1437	1057	0	9.1	0	0	0	127
PSC	0	31H01	6451	1435	1017	1403	1049	0	10.6	0	0	0	101
PSC	0	39C02	6385	1343	1113	1402	1054	0	10.1	0	0	0	163
PSC	0	48C01	6298	1269	1253	1455	1067	0	6.0	0	0	0	184
PSC	0	20ISO02	6403	1357	1140	1402	1095	0	9.5	0	0	0	104
PSC	0	05O02	6165	1105	1629	1556	1178	0	8.8	0	0	0	105
PSC	0	13O02	6441	1230	1264	1394	1100	0	11.1	0	0	0	69
PSC	0	22L02	6568	1545	781	1327	999	0	10.2	0	0	0	110
PSC	0	31H03	6463	1453	985	1382	1056	0	11.0	0	0	0	103
PSC	0	40L02	6380	1379	1141	1440	1080	0	11.3	0	0	0	104
PSC	0	01ISO01	6404	1362	1137	1427	1072	0	12.0	0	0	0	101
PSC	0	21ISO01	6465	1376	1115	1420	1071	0	13.1	0	0	0	48
PSC	0	06O01	6218	1150	1502	1495	1157	0	7.3	0	0	0	134
PSC	0	14O01	6199	1225	1526	1575	1176	0	11.8	0	0	0	54
PSC	0	23C01	6409	1226	1085	1328	983	0	5.2	0	0	0	284
PSC	0	32O02	6535	1438	919	1335	1022	0	9.6	0	0	0	112
PSC	0	41H01	6228	1211	1476	1539	1148	0	10.2	0	0	0	89
PSC	0	03ISO01	6417	1360	1189	1487	1062	0	14.1	0	0	0	38
PSC	0	21ISO03	6572	1367	1023	1342	1048	0	12.9	0	0	0	42
PSC	0	06O03	6244	1347	1303	1502	1148	0	9.8	0	0	0	110
PSC	0	14O03	6285	1329	1323	1518	1134	0	9.6	0	0	0	67
PSC	0	24C01	6421	1357	1057	1381	1033	0	8.8	0	0	0	169
PSC	0	33L01	6342	1388	1107	1440	1055	0	9.3	0	0	0	167
PSC	0	41H03	6208	1276	1367	1550	1093	0	11.0	0	0	0	153
PSC	0	05ISO01	6281	1195	1469	1520	1144	0	12.4	0	0	0	59
PSC	0	23ISO02	6326	1384	1156	1461	1079	0	14.2	0	0	0	138
PSC	0	07L02	6394	1409	1032	1395	1046	0	7.5	0	0	0	169
PSC	0	15C02	6452	1376	1075	1410	1041	0	9.2	0	0	0	101
PSC	0	25H01	6247	1330	1267	1493	1104	0	9.8	0	0	0	160
PSC	0	33L03	6161	1321	1358	1566	1113	0	10.1	0	0	0	164
PSC	0	42L02	6242	1185	1473	1521	1137	0	11.0	0	0	0	104
PSC	0	08ISO01	6336	1350	1210	1481	1079	0	9.9	0	0	0	108
PSC	0	08H01	6275	1204	1352	1443	1113	0	6.6	0	0	0	173
PSC	0	16C02	6354	1385	1153	1437	1101	0	8.8	0	0	0	112
PSC	0	25H03	6301	1402	1068	1439	1031	0	7.7	0	0	0	233
PSC	0	34C02	6227	1349	1322	1510	1161	0	8.7	0	0	0	106
PSC	0	43H01	6469	1320	1126	1408	1038	0	8.2	0	0	0	89
PSC	0	12ISO01	6319	1384	1129	1459	1054	0	9.0	0	0	0	172
PSC	0	08H03	6260	1232	1424	1519	1137	0	9.2	0	0	0	88
PSC	0	17L02	6505	1369	1026	1357	1038	0	7.5	0	0	0	104
PSC	0	26C02	6549	1379	970	1337	1012	0	9.3	0	0	0	106
PSC	0	35H02	6342	1247	1326	1486	1087	0	8.4	0	0	0	89
PSC	0	43H03	6349	1258	1294	1476	1076	0	9.1	0	0	0	103
PSC	0	12ISO03	6315	1325	1147	1428	1044	0	9.5	0	0	0	217
PSC	0	01C02	6448	1487	964	1393	1058	0	16.4	0	0	0	105
PSC	0	09H03	6431	1252	1280	1449	1083	0	15.2	0	0	0	41
PSC	0	18C02	6473	1432	1056	1419	1069	0	17.1	0	0	0	43
PSC	0	28L01	6359	1316	1197	1447	1066	0	14.5	0	0	0	132
PSC	0	36O02	6421	1321	1161	1423	1059	0	14.6	0	0	0	101
PSC	0	44O03	6065	1143	1691	1595	1239	0	12.4	0	0	0	105
PSC	0	13ISO03	6506	1424	992	1381	1035	0	13.3	0	0	0	82
PSC	0	02H02	6427	1394	1107	1418	1083	0	14.2	0	0	0	76
PSC	0	10O02	6281	1194	1464	1521	1137	0	14.3	0	0	0	65
PSC	0	19L02	6496	1385	1058	1410	1033	0	15.3	0	0	0	65
PSC	0	28L03	6308	1269	1293	1464	1098	0	14.4	0	0	0	134
PSC	0	37O01	6335	1311	1296	1527	1080	0	14.3	0	0	0	62
PSC	0	45H02	6510	1417	998	1385	1030	0	14.4	0	0	0	79
PSC	0	14ISO02	6366	1427	1135	1480	1082	0	20.0	0	0	0	76
PSC	0	03O01	6563	1584	805	1349	1040	0	14.7	0	0	0	52
PSC	0	11H01	6432	1391	1044	1390	1045	0	13.0	0	0	0	137
PSC	0	20L01	6409	1370	1094	1415	1049	0	13.5	0	0	0	131
PSC	0	29H02	6249	1411	1263	1522	1152	0	14.3	0	0	0	81
PSC	0	37O03	6272	1271	1395	1531	1135	0	14.1	0	0	0	66
PSC	0	46C01	6251	1442	1173	1521	1094	0	15.9	0	0	0	138
PSC	0	15ISO01	6433	1413	1090	1413	1090	0	12.9	0	0	0	68
PSC	0	03O03	6391	1373	1197	1445	1125	0	15.1	0	0	0	43
PSC	0	11H03	6443	1397	1039	1406	1030	0	17.1	0	0	0	125
PSC	0	20L03	6431	1424	1041	1397	1068	0	21.2	0	0	0	108
PSC	0	30L01	6369	1453	1087	1446	1094	0	16.7	0	0	0	95
PSC	0	38L02	6476	1361	1116	1419	1058	0	15.0	0	0	0	51
PSC	0	47O01	6299	1292	1362	1481	1173	0	18.7	0	0	0	51
PSC	0	16ISO01	6553	1436	954	1368	1022	0	15.7	0	0	0	61
PSC	0	04O02	6185	1292	1398	1536	1154	0	15.4	0	0	0	129
PSC	0	12L02	6384	1333	1212	1451	1094	0	15.2	0	0	0	75
PSC	0	21H02	6167	1179	1601	1574	1206	0	15.7	0	0	0	57
PSC	0	30L03	6282	1305	1350	1513	1142	0	14.7	0	0	0	67
PSC	0	39C01	6399	1375	1101	1412	1064	0	14.2	0	0	0	129
PSC	0	47O03	6465	1494	974	1389	1079	0	20.7	0	0	0	71
PSC	0	20ISO01	6355	1362	1202	1450	1114	0	20.3	0	0	0	85
PSC	0	05O01	6346	1311	1284	1478	1117	0	16.9	0	0	0	63
PSC	0	13O01	6243	1118	1597	1566	1149	0	18.6	0	0	0	46
PSC	0	22L01	6476	1500	954	1408	1046	0	16.5	0	0	0	74
PSC	0	31H02	6440	1487	980	1395	1072	0	15.3	0	0	0	97
PSC	0	40L01	6416	1493	1035	1461	1067	0	16.4	0	0	0	60
PSC	0	48C02	6461	1406	1079	1416	1069	0	17.2	0	0	0	58
PSC	0	20ISO03	6309	1369	1234	1456	1147	0	14.9	0	0	0	92
PSC	0	05O03	6091	999	1861	1614	1246	0	13.3	0	0	0	53
PSC	0	13O03	6450	1220	1281	1423	1078	0	13.6	0	0	0	53
PSC	0	22L03	6511	1471	935	1382	1024	0	13.4	0	0	0	87
PSC	0	32O01	6316	1233	1402	1492	1143	0	11.7	0	0	0	53
PSC	0	40L03	6197	1265	1477	1565	1177	0	16.1	0	0	0	65
PSC	0	01ISO02	6402	1322	1190	1432	1080	0	12.9	0	0	0	90
PSC	0	21ISO02	6457	1368	1087	1398	1057	0	13.5	0	0	0	92
PSC	0	06O02	6113	1152	1656	1606	1202	0	12.9	0	0	0	83
